input,output
"{'key': 'YPJHELJTCJBMJE-UHFFFAOYSA-N', 'input': 'CN(C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)cc1)C2', 'text': 'CN(C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)cc1)C2'}",{'outcome': 0.9108911156654351}
"{'key': 'JWTBNTCDSNQIDW-UHFFFAOYSA-N', 'input': 'CN(CC(=O)N(C)C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)cc1)C2', 'text': 'CN(CC(=O)N(C)C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)cc1)C2'}",{'outcome': 0.8514851331710811}
"{'key': 'VKAMBSPXFFZIQB-UHFFFAOYSA-N', 'input': 'CNC1CCN(c2ccc(-n3ncc4cc(-c5ccc(C(F)(F)F)cc5)sc4c3=O)cn2)C1', 'text': 'CNC1CCN(c2ccc(-n3ncc4cc(-c5ccc(C(F)(F)F)cc5)sc4c3=O)cn2)C1'}",{'outcome': 0.8745874762535091}
"{'key': 'ZIWFCOIGUNPHPM-UHFFFAOYSA-N', 'input': 'COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1', 'text': 'COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1'}",{'outcome': 0.94554454088211}
"{'key': 'ZKOGSLKSILTRTB-UHFFFAOYSA-N', 'input': 'CC(OC1CCC2NC1(c1ccccc1)CC2c1nnn(C)n1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1', 'text': 'CC(OC1CCC2NC1(c1ccccc1)CC2c1nnn(C)n1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1'}",{'outcome': 0.9752475023269651}
"{'key': 'BRKOVFUTTJGJEO-UHFFFAOYSA-N', 'input': 'O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1(O)c1ccc(F)cc1)CC2', 'text': 'O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1(O)c1ccc(F)cc1)CC2'}",{'outcome': 0.8267326951026911}
"{'key': 'WAFZISBSKUIZLT-UHFFFAOYSA-N', 'input': 'NCC1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3', 'text': 'NCC1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3'}",{'outcome': 0.8168317079544061}
"{'key': 'RFKDHOWUSOAINF-UHFFFAOYSA-N', 'input': 'Cc1oc(-c2cccc(Cl)c2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)O)c1', 'text': 'Cc1oc(-c2cccc(Cl)c2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)O)c1'}",{'outcome': 0.9653465151786801}
"{'key': 'HNQIZPRWNRLKAA-UHFFFAOYSA-N', 'input': 'CC(OC1CCc2nccn2CC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1', 'text': 'CC(OC1CCc2nccn2CC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1'}",{'outcome': 0.94554454088211}
"{'key': 'VJDCPXRVPLDANO-UHFFFAOYSA-N', 'input': 'N#CC1CCCN1C(=O)C1CN(Cc2ccc(-n3cncn3)cc2)CC1N', 'text': 'N#CC1CCCN1C(=O)C1CN(Cc2ccc(-n3cncn3)cc2)CC1N'}",{'outcome': 0.831683158874511}
"{'key': 'UAAYMUFGVDVSAW-UHFFFAOYSA-N', 'input': 'Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1', 'text': 'Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1'}",{'outcome': 0.995049476623535}
"{'key': 'XMAYWYJOQHXEEK-UHFFFAOYSA-N', 'input': 'CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1', 'text': 'CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1'}",{'outcome': 0.7384286522865291}
"{'key': 'VVVGZTGKMJOGEW-UHFFFAOYSA-N', 'input': 'NC(C(=O)N1CCSC1)C1CCC(NC(=O)Nc2ccc(I)cc2)CC1', 'text': 'NC(C(=O)N1CCSC1)C1CCC(NC(=O)Nc2ccc(I)cc2)CC1'}",{'outcome': 0.683168292045593}
"{'key': 'XMAYWYJOQHXEEK-UHFFFAOYSA-N', 'input': 'CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1', 'text': 'CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1'}",{'outcome': 0.7384286522865291}
"{'key': 'HTPCWPVYNDSILH-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(Cl)c(F)c2)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(Cl)c(F)c2)cc1'}",{'outcome': 0.9801980257034301}
"{'key': 'PFUQNLIPHWCBSH-UHFFFAOYSA-N', 'input': 'CC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCN(c4ccccc4)C(=O)C3)CC2)C1=O', 'text': 'CC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCN(c4ccccc4)C(=O)C3)CC2)C1=O'}",{'outcome': 0.9900990128517151}
"{'key': 'PZFVISYBXMCPDS-UHFFFAOYSA-N', 'input': 'CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12', 'text': 'CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12'}",{'outcome': 0.34289446473121604}
"{'key': 'GZSKEXSLDPEFPT-UHFFFAOYSA-N', 'input': 'COc1cc(N)c(Cl)cc1C(=O)NC1CCN2CCCC1C2', 'text': 'COc1cc(N)c(Cl)cc1C(=O)NC1CCN2CCCC1C2'}",{'outcome': 0.9504950642585751}
"{'key': 'FJVFFJPYYUVVJU-UHFFFAOYSA-N', 'input': 'Cc1cnc(-c2nnc(SCCN3CCc4ccc(-c5cc(C)nn5C)cc4CC3)n2C)cn1', 'text': 'Cc1cnc(-c2nnc(SCCN3CCc4ccc(-c5cc(C)nn5C)cc4CC3)n2C)cn1'}",{'outcome': 0.908415853977203}
"{'key': 'OLWRVVHPJFLNPW-UHFFFAOYSA-N', 'input': 'N#Cc1ccc2c(c1)CCN(CCC1CCC(NC(=O)c3ccnc4ccccc34)CC1)C2', 'text': 'N#Cc1ccc2c(c1)CCN(CCC1CCC(NC(=O)c3ccnc4ccccc34)CC1)C2'}",{'outcome': 0.9009901285171501}
"{'key': 'RTHCYVBBDHJXIQ-UHFFFAOYSA-N', 'input': 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'text': 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1'}",{'outcome': 1.0}
"{'key': 'GXXOEDOPXGPUFF-UHFFFAOYSA-N', 'input': 'O=C1NCCN1CC[N+]1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1', 'text': 'O=C1NCCN1CC[N+]1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1'}",{'outcome': 0.7520626783370971}
"{'key': 'DEGBCQBDRINUIO-UHFFFAOYSA-N', 'input': 'Cc1ncccc1C(=O)N1CCC(NCc2cncn2Cc2ccc(C#N)cc2)C1=O', 'text': 'Cc1ncccc1C(=O)N1CCC(NCc2cncn2Cc2ccc(C#N)cc2)C1=O'}",{'outcome': 0.611386120319366}
"{'key': 'ONJIDPSNVZIKJS-UHFFFAOYSA-N', 'input': 'CN(C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)nc1)C2', 'text': 'CN(C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)nc1)C2'}",{'outcome': 0.871287107467651}
"{'key': 'RRFPMVCMACNLJQ-UHFFFAOYSA-N', 'input': 'CC(C(O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2cccc(F)c2)CC1', 'text': 'CC(C(O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2cccc(F)c2)CC1'}",{'outcome': 0.92079210281372}
"{'key': 'BWKAHABETZLDBG-UHFFFAOYSA-N', 'input': 'CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN1CCN(C(C)=O)CC1)c1ccccc1', 'text': 'CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN1CCN(C(C)=O)CC1)c1ccccc1'}",{'outcome': 0.8019801974296571}
"{'key': 'LJMDQOSAVJNIPL-UHFFFAOYSA-N', 'input': 'CC(C(O)c1ccc2c(c1)CCC(O)N2)N1CCC(O)(c2ccccc2)CC1', 'text': 'CC(C(O)c1ccc2c(c1)CCC(O)N2)N1CCC(O)(c2ccccc2)CC1'}",{'outcome': 0.844059407711029}
"{'key': 'JCGAMUKFIGRQFG-UHFFFAOYSA-N', 'input': 'CC(c1ccc(C#N)cc1)N1CC(N)C(C(=O)C2CCCC2C#N)C1', 'text': 'CC(c1ccc(C#N)cc1)N1CC(N)C(C(=O)C2CCCC2C#N)C1'}",{'outcome': 0.78910893201828}
"{'key': 'YKLQISOTHKATHJ-UHFFFAOYSA-N', 'input': 'CC1(c2ccccc2)CCN(CC2CCc3cccnc3C(O)C2)CC1', 'text': 'CC1(c2ccccc2)CCN(CC2CCc3cccnc3C(O)C2)CC1'}",{'outcome': 0.095473833382129}
"{'key': 'QTGSINBFNYAXSI-UHFFFAOYSA-N', 'input': 'CCn1nc(Cc2ccccc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)C)CC2c2cccc(F)c2)CC1', 'text': 'CCn1nc(Cc2ccccc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)C)CC2c2cccc(F)c2)CC1'}",{'outcome': 0.019801979884505}
"{'key': 'QXILTVSZVUBYFU-UHFFFAOYSA-N', 'input': 'CCC(C)C(C(=O)O)N1CC(CN2CCC(c3cc(Cc4ccc(C#N)cc4)nn3CC)CC2)C(c2cccc(F)c2)C1', 'text': 'CCC(C)C(C(=O)O)N1CC(CN2CCC(c3cc(Cc4ccc(C#N)cc4)nn3CC)CC2)C(c2cccc(F)c2)C1'}",{'outcome': 0.13861386477947202}
"{'key': 'IXLAACMWTDRWNI-UHFFFAOYSA-N', 'input': 'O=C(O)C(CC1CCC1)N1CC(CN2CCC(c3cnc4ccc(C(F)(F)F)cn34)CC2)C(c2cccc(F)c2)C1', 'text': 'O=C(O)C(CC1CCC1)N1CC(CN2CCC(c3cnc4ccc(C(F)(F)F)cn34)CC2)C(c2cccc(F)c2)C1'}",{'outcome': 0.014851485379040002}
"{'key': 'GQXWEIHRIBAWAF-UHFFFAOYSA-N', 'input': 'CN(C)C(=N)c1ccc(CN2C(=O)CN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(=O)O)cc1', 'text': 'CN(C)C(=N)c1ccc(CN2C(=O)CN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(=O)O)cc1'}",{'outcome': 0.24752475321292802}
"{'key': 'OYCCHVFLJCOTKI-UHFFFAOYSA-N', 'input': 'CC(=O)N1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=CC2c2ccccc2)CC1', 'text': 'CC(=O)N1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=CC2c2ccccc2)CC1'}",{'outcome': 0.03960395976901}
"{'key': 'WBQCKUNNRLRPOG-UHFFFAOYSA-N', 'input': 'CN(C)C(=O)C(=O)N(C)C1CCCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O', 'text': 'CN(C)C(=O)C(=O)N(C)C1CCCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O'}",{'outcome': 0.014851485379040002}
"{'key': 'QDLSQZUNQXEAFR-UHFFFAOYSA-N', 'input': 'Oc1ccc(OCCN2CCC(O)(Cc3ccccc3)C(O)C2)cc1', 'text': 'Oc1ccc(OCCN2CCC(O)(Cc3ccccc3)C(O)C2)cc1'}",{'outcome': 0.043564356863498}
"{'key': 'QDLSQZUNQXEAFR-UHFFFAOYSA-N', 'input': 'Oc1ccc(OCCN2CCC(O)(Cc3ccccc3)C(O)C2)cc1', 'text': 'Oc1ccc(OCCN2CCC(O)(Cc3ccccc3)C(O)C2)cc1'}",{'outcome': 0.043564356863498}
"{'key': 'IXLAACMWTDRWNI-UHFFFAOYSA-N', 'input': 'O=C(O)C(CC1CCC1)N1CC(CN2CCC(c3cnc4ccc(C(F)(F)F)cn34)CC2)C(c2cccc(F)c2)C1', 'text': 'O=C(O)C(CC1CCC1)N1CC(CN2CCC(c3cnc4ccc(C(F)(F)F)cn34)CC2)C(c2cccc(F)c2)C1'}",{'outcome': 0.014851485379040002}
"{'key': 'XHNXDERATDTZIU-UHFFFAOYSA-N', 'input': 'COc1ccccc1OCCNCC(O)COC1=CC=CC2=Nc3ccccc3C12', 'text': 'COc1ccccc1OCCNCC(O)COC1=CC=CC2=Nc3ccccc3C12'}",{'outcome': 0.20288778841495503}
"{'key': 'OGHNVEJMJSYVRP-UHFFFAOYSA-N', 'input': 'COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12', 'text': 'COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12'}",{'outcome': 0.653037071228027}
"{'key': 'JMEZNPNWVKWWOI-UHFFFAOYSA-N', 'input': 'CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1(CO)c1ccccc1)C1CCN(CCF)CC1', 'text': 'CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1(CO)c1ccccc1)C1CCN(CCF)CC1'}",{'outcome': 0.019801979884505}
"{'key': 'AFPXRCJVDFTWMT-UHFFFAOYSA-N', 'input': 'CN(C)C(=O)C(c1ccc(-c2cccc(-n3cnnn3)c2)cc1)C(N)C(=O)N1CCC(F)C1', 'text': 'CN(C)C(=O)C(c1ccc(-c2cccc(-n3cnnn3)c2)cc1)C(N)C(=O)N1CCC(F)C1'}",{'outcome': 0.054455444216728}
"{'key': 'MAKUSAJTXWUWHK-UHFFFAOYSA-N', 'input': 'CC(C)C(Oc1ccc(CNC(=O)C2CCCN2C(=O)CC(N)Cc2c(F)c(F)c(F)c(F)c2F)cc1)C(=O)O', 'text': 'CC(C)C(Oc1ccc(CNC(=O)C2CCCN2C(=O)CC(N)Cc2c(F)c(F)c(F)c(F)c2F)cc1)C(=O)O'}",{'outcome': 0.049504950642585005}
"{'key': 'HOLMVLAGEPDFQK-UHFFFAOYSA-N', 'input': 'CN(C)C(=O)C(c1ccc(-c2ccc3ncnn3c2)cc1)C(N)C(=O)N1CCC(F)(F)C1', 'text': 'CN(C)C(=O)C(c1ccc(-c2ccc3ncnn3c2)cc1)C(N)C(=O)N1CCC(F)(F)C1'}",{'outcome': 0.014851485379040002}
"{'key': 'TUXQZPCSIXZJCG-UHFFFAOYSA-N', 'input': 'CC(N)C1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCC4C)C1', 'text': 'CC(N)C1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCC4C)C1'}",{'outcome': 0.0}
"{'key': 'WTLFRZGLMDADRS-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)c1ccc(-c2noc(C(CC3CC3)C(N)C(=O)N3CCC(F)C3)n2)cc1', 'text': 'CS(=O)(=O)c1ccc(-c2noc(C(CC3CC3)C(N)C(=O)N3CCC(F)C3)n2)cc1'}",{'outcome': 0.09900990128517101}
"{'key': 'BQSSHYNPAGSOBT-UHFFFAOYSA-N', 'input': 'O=C(Cn1cc(Nc2ncnc3cc(OCCCN4CCCC4CO)ccc23)cn1)Nc1cccc(F)c1F', 'text': 'O=C(Cn1cc(Nc2ncnc3cc(OCCCN4CCCC4CO)ccc23)cn1)Nc1cccc(F)c1F'}",{'outcome': 0.03960395976901}
"{'key': 'CTQMRUXMUVMMNE-UHFFFAOYSA-N', 'input': 'O=C(Cn1cc(Nc2ncnc3cc(OCCCN4CCCC4COP(=O)(O)O)ccc23)cn1)Nc1cccc(F)c1F', 'text': 'O=C(Cn1cc(Nc2ncnc3cc(OCCCN4CCCC4COP(=O)(O)O)ccc23)cn1)Nc1cccc(F)c1F'}",{'outcome': 0.03960395976901}
"{'key': 'PEBCJHONXDFPDD-UHFFFAOYSA-N', 'input': 'CN(C)C(=O)Nc1ccc(S(=O)(=O)NC2CCC(C(N)C(=O)N3CCCC3)CC2)cc1', 'text': 'CN(C)C(=O)Nc1ccc(S(=O)(=O)NC2CCC(C(N)C(=O)N3CCCC3)CC2)cc1'}",{'outcome': 0.019801979884505}
"{'key': 'ADSYCQHXJJBMGD-UHFFFAOYSA-N', 'input': 'NC(C(=O)N1CCCC1)C1CCC(NS(=O)(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2)CC1', 'text': 'NC(C(=O)N1CCCC1)C1CCC(NS(=O)(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2)CC1'}",{'outcome': 0.034653466194868005}
"{'key': 'QOHCKNSBKXAMAV-UHFFFAOYSA-N', 'input': 'CC(c1ccc(-c2cccc(C(=O)O)c2)cc1)C(N)C(=O)N1CCC(F)C1', 'text': 'CC(c1ccc(-c2cccc(C(=O)O)c2)cc1)C(N)C(=O)N1CCC(F)C1'}",{'outcome': 0.014851485379040002}
"{'key': 'BQJCRHHNABKAKU-UHFFFAOYSA-N', 'input': 'CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5', 'text': 'CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5'}",{'outcome': 0.0}
"{'key': 'AQIXAKUUQRKLND-UHFFFAOYSA-N', 'input': 'CNC(=NC#N)NCCSCc1nc[nH]c1C', 'text': 'CNC(=NC#N)NCCSCc1nc[nH]c1C'}",{'outcome': 0.019801979884505}
"{'key': 'JINLPDCSJHGHJE-UHFFFAOYSA-N', 'input': 'CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c([S+2](N)(O)O)c1', 'text': 'CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c([S+2](N)(O)O)c1'}",{'outcome': 0.398514837026596}
"{'key': 'LUHMMHZLDLBAKX-UHFFFAOYSA-N', 'input': 'CC1=C2C3OC(=O)C(C)C3C(O)CC2(C)C=CC1=O', 'text': 'CC1=C2C3OC(=O)C(C)C3C(O)CC2(C)C=CC1=O'}",{'outcome': 0.0}
"{'key': 'JWLQSWJBHJDZPV-UHFFFAOYSA-N', 'input': 'N#Cc1ccc(Cn2cncc2CNC2CCN(C(=O)c3cccnc3S)C2=O)cc1', 'text': 'N#Cc1ccc(Cn2cncc2CNC2CCN(C(=O)c3cccnc3S)C2=O)cc1'}",{'outcome': 0.19837340712547302}
"{'key': 'RCAXDUZVJIMXJF-UHFFFAOYSA-N', 'input': 'CCn1nc(Cc2ccc(OC)c(OC)c2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1', 'text': 'CCn1nc(Cc2ccc(OC)c(OC)c2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1'}",{'outcome': 0.054455444216728}
"{'key': 'XOZYJPDXACCQDE-UHFFFAOYSA-N', 'input': 'COc1cccc(C2(O)CCN(C(C)C(O)c3ccc4c(c3)CCC(=O)N4)CC2)c1', 'text': 'COc1cccc(C2(O)CCN(C(C)C(O)c3ccc4c(c3)CCC(=O)N4)CC2)c1'}",{'outcome': 0.108910888433456}
"{'key': 'FHIRATRLDJRXHH-UHFFFAOYSA-N', 'input': 'O=C(C(O)C1CC1)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1', 'text': 'O=C(C(O)C1CC1)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1'}",{'outcome': 0.009900989942252001}
"{'key': 'QAGYKUNXZHXKMR-UHFFFAOYSA-N', 'input': 'Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C', 'text': 'Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C'}",{'outcome': 0.421676099300384}
"{'key': 'ADMTUTZDAMUJSX-UHFFFAOYSA-N', 'input': 'OC1CC(CN2CCC(c3ccc(F)cc3Cl)C(O)C2)CCc2cccnc21', 'text': 'OC1CC(CN2CCC(c3ccc(F)cc3Cl)C(O)C2)CCc2cccnc21'}",{'outcome': 0.009900989942252001}
"{'key': 'RWXTYWYNQMAVCA-UHFFFAOYSA-N', 'input': 'Cc1cc(F)ccc1C1CCN(CC2CCc3cccnc3C(O)C2)CC1O', 'text': 'Cc1cc(F)ccc1C1CCN(CC2CCc3cccnc3C(O)C2)CC1O'}",{'outcome': 0.009900989942252001}
"{'key': 'AGSWPZXGFSITHZ-UHFFFAOYSA-N', 'input': 'CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1', 'text': 'CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1'}",{'outcome': 0.520385444164276}
"{'key': 'GHIZHNQXMPLRIP-UHFFFAOYSA-N', 'input': 'Cc1[nH]nc2c1c(=O)n(CC(F)CN)c1cc3c(cc21)CCCC3', 'text': 'Cc1[nH]nc2c1c(=O)n(CC(F)CN)c1cc3c(cc21)CCCC3'}",{'outcome': 0.049504950642585005}
"{'key': 'BPNUQXPIQBZCMR-UHFFFAOYSA-N', 'input': 'Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12', 'text': 'Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12'}",{'outcome': 0.113861389458179}
"{'key': 'MUYIFNFODMQVMV-UHFFFAOYSA-N', 'input': 'COCCc1ccc(-n2cc(C3CC[N+](CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1', 'text': 'COCCc1ccc(-n2cc(C3CC[N+](CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1'}",{'outcome': 0.05940594151616001}
"{'key': 'WEXRUCMBJFQVBZ-UHFFFAOYSA-N', 'input': 'CCCC(C)C1(CC)C(=O)NC(=O)NC1=O', 'text': 'CCCC(C)C1(CC)C(=O)NC(=O)NC1=O'}",{'outcome': 0.009900989942252001}
"{'key': 'NQZYDIWYPVKGER-UHFFFAOYSA-N', 'input': 'C[N+]1CC[N+](C2c3ccccc3Nc3ccc(Cl)cc3N2O)CC1', 'text': 'C[N+]1CC[N+](C2c3ccccc3Nc3ccc(Cl)cc3N2O)CC1'}",{'outcome': 0.18440593779087003}
"{'key': 'IHNXTAHQOZPVBI-UHFFFAOYSA-N', 'input': 'COc1ccc2c(=O)n(CC(O)CO)c(C#N)c(-c3ccccc3)c2c1', 'text': 'COc1ccc2c(=O)n(CC(O)CO)c(C#N)c(-c3ccccc3)c2c1'}",{'outcome': 0.0049504949711260005}
"{'key': 'BMZVUMSBUURNOU-UHFFFAOYSA-N', 'input': 'CCSc1ncccc1C(=O)N1CCC(NCc2cncn2Cc2ccc(C#N)cc2)C1=O', 'text': 'CCSc1ncccc1C(=O)N1CCC(NCc2cncn2Cc2ccc(C#N)cc2)C1=O'}",{'outcome': 0.19059406220912903}
"{'key': 'IIVZUBFHVGRROU-UHFFFAOYSA-N', 'input': 'CCn1nc(Cc2ccccc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1', 'text': 'CCn1nc(Cc2ccccc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1'}",{'outcome': 0.06435643881559301}
"{'key': 'RCBBASWGELNHIE-UHFFFAOYSA-N', 'input': 'CC(=O)N1CCN(Cc2ccc3c(c2)CCC(N(C)C(=O)c2ccc(-c4ccc(F)cc4)cn2)C3)CC1', 'text': 'CC(=O)N1CCN(Cc2ccc3c(c2)CCC(N(C)C(=O)c2ccc(-c4ccc(F)cc4)cn2)C3)CC1'}",{'outcome': 0.049504950642585005}
"{'key': 'RZPQYTXPEIHPIJ-UHFFFAOYSA-N', 'input': 'CN(C)C(=O)N1CC(c2cc(F)ccc2F)=CC1(CCC(N)C(F)F)c1ccccc1', 'text': 'CN(C)C(=O)N1CC(c2cc(F)ccc2F)=CC1(CCC(N)C(F)F)c1ccccc1'}",{'outcome': 0.051072608679533005}
"{'key': 'YTZHTNOYQFRADU-UHFFFAOYSA-N', 'input': 'CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1(CO)c1ccccc1)C1CCN(C2CC2)CC1', 'text': 'CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1(CO)c1ccccc1)C1CCN(C2CC2)CC1'}",{'outcome': 0.0049504949711260005}
"{'key': 'KXKRZHKEPHLIGJ-UHFFFAOYSA-M', 'input': 'CC1COc2c(N3CC[N+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23', 'text': 'CC1COc2c(N3CC[N+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23'}",{'outcome': 0.014851485379040002}
"{'key': 'TXOOBKBDBNRQCF-UHFFFAOYSA-N', 'input': 'CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O', 'text': 'CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O'}",{'outcome': 0.0049504949711260005}
"{'key': 'CHZRIUCQCGDOGQ-UHFFFAOYSA-N', 'input': 'CN(CCO)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1', 'text': 'CN(CCO)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1'}",{'outcome': 0.009900989942252001}
"{'key': 'QWAXKHKRTORLEM-UHFFFAOYSA-N', 'input': 'CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1', 'text': 'CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1'}",{'outcome': 0.08993399143218901}
"{'key': 'QIOWXXXKNBGPEJ-UHFFFAOYSA-N', 'input': 'COc1c(N2CCC(C(C)NCCC#N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12', 'text': 'COc1c(N2CCC(C(C)NCCC#N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12'}",{'outcome': 0.0}
"{'key': 'IVJZHSAWAMPKFD-UHFFFAOYSA-N', 'input': 'COc1c(N2CCC(C(N)CC#N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12', 'text': 'COc1c(N2CCC(C(N)CC#N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12'}",{'outcome': 0.0}
